,title
322,-구미 물싸움에…'선사대 암각화' 보존 비상 걸렸다
323,"""반값까지 나왔다""  아파트가 어쩌다 이런 일이…"
324,[포토] 마지막조를 따라 이동하는  경북 골프팬들
325,""" 고교 운동부서 후배 폭행·성추행"" 신고…교육당국·경찰 조사착수"
326,‘의 맛’ 트로트에 담았다… 10미 음원 발매
327,설공단 대통령경호처장기 사격대회 금메달
328,이정선 광주교육감 남도 의병 순국현장 감옥 참배
329,경북연구원 해산 분리 반발
330,'제22회 국제식품산업전' 22~25일  엑스코서 열려
331,가톨릭대 리크루트 투어 개최…25개 기관·기업 참가
332,[동정] 홍준표 장
333,생탁 국제식품산업전참가…음회·특별 할인행사’ 진행
334, 기업 ‘멜라카 스튜디오’ “‘애니 먹방’으로 세계로”
335, 10미(味) 알릴 K트롯 '의 맛' 음원 눈길
336,교육청 제86회 전국도교육감협의회 총회 서 열어
337,[포토] 문도엽 '수많은  경북팬들앞에서 에이밍'
338,서 전국도교육감협의회 총회
339," ""26일부터 실외마스크 착용 자율적으로 한다"""
340,GS건설 서 '대명자이 그랜드티' 10월 분양
341,교육청 직업교육 박람회 '특·마 Festival' 20~21일 개최
342,홍준표 장 “깨끗한 삶의 공간 속에서 아이들 웃음소리 넘치게 하겠다”
343,의회  조례안 잇따라 보류…핵심과제 ‘제동’
344, 수출 18개월 연속 성장세…경북은 상승세로 전환
345,2022 스트리트모터페스티벌 24일 개막
346, 달서구 빌라 불 10여분만에 진화…1명 부상·8명 대피
347, 차부품 수요처 다변화 나섰다…GM 찾아 ‘테크쇼’ 개최
348,병든 낙타 방치해 죽자 먹이로… '동물 학대' 동물원 대표 집유
349,·경북 대체로 맑고 일교차 커… 낮 24도
350,·경북 대체로 맑고 일교차 커… 낮 24도
351,서 전국도교육감협의회 총회
352,대법 “ 북구청 이슬람 사원 공사 중지 취소해야”
353,·경북 가끔 구름 많음…낮 19~23도
354, 2612명 코로나19 확진…사망자는 5명
355,영진사이버대 사회적기업협의회와 산업체위탁 교육협약
356,의회 행정감사 대비 ‘민제보 상황실’ 운영
357,이정선 광주교육감 남도 의병 순국현장 감옥 참배
358,비수도권 최대 규모 제22회 국제식품산업전 개최
359,서 고교 운동부 학폭 신고…성추행 여부도 조사
360,서 고교 운동부 학폭 신고…성추행 여부도 조사
361,낮과 밤의 길이 같은 ‘추분’…·경북 큰 일교차 
362,-GMTCK  미래 자동차 '테크쇼' 선봬
363,'이상 외환거래' 추적 지검 우리은행 본점 압수수색… 직원 1명 체포
364,'2022 민생활체육대축전' 24~25일 15개 경기장서 개최
365,GS건설  '대명자이 그랜드티' 10월 분양
366,내일부터 에서 국제 식품산업전 열린다
367,"홍준표 장 ""군부대 통합 이전 연내 가화"""
368, 2022 스트리트모터페스티벌 개막
369,'2022 포크페스티벌'에 '가수' 정은주‧' 밴드' 링크맨 출연
370,'2022 포크페스티벌'에 '가수' 정은주‧' 밴드' 링크맨 출연
371,ABB 기업들 에 몰려든다
372,지검 '수상한 외환거래' 관련 우리은행 본점 압수수색
373,악수하는 홍준표 장과 안철수 의원
374,경북연구원 노조 “연구원 해산은 현행법 위반”
375,행복진흥원 원장에 정순천 전 의원 내정
376,국제식품산업전 22일-25일 엑스코 개최
377,·경북권 4년제 대학 수1차 경쟁률 소폭 하락
378,'아파트 거래 찬바람'  분양전망지수도 추락…46.7→39.3
379, 고교 운동부서 성추행 등 학교폭력 신고…경찰 수사
380, 고교 운동부서 성추행 등 학교폭력 신고…경찰 수사
381, 자동차 검사장서 불…30분 만에 진화
382, 수성구 조정대상지역 해제에 부동산업계는 '글쎄'
383,GS건설  남구 '대명자이 그랜드티' 내달 분양
384,K리그 파이널라운드 일정 확정···FC 홈 2경기
385,문학관 '8개 테마로 걷는 문학로드' 운영
386, 달서구 빌라 3층서 불…20대 여성 1명 화상
387,윤 대통령 국정 지지율 34.4%... ·경북과 60대 상승폭 컸다
388,·경북 '난마돌 영향' 흐리고 비…낮 21~28도
389,미스트롯 김나희 '의 맛' 음원 발매… 제작
390,동산병원 서문장에서 무료 의료상담
391,로 본사 이전 티웨이 ‘파워풀 K-팝콘서트’ 홍보 앞장
392,행복진흥원 원장에 정순천 전 의원 내정
393,' 인권위원회' 폐지 결정에 민단체 거센 반발
394,국립발레단의 '백조의 호수' 서 공연
395,-광주 청년 달빛교류
